Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
API_AccessToken,,,,19-09-2025 15:25:04,19-09-2025 15:25:19,15.187s,ERROR
,,,,,,,
Test Cases/API_Testing/TC04_getAccessToken_Api,,,,19-09-2025 15:25:05,19-09-2025 15:25:15,10.454s,PASSED
"DATA BINDING - {""(Default) maste..."":""Include/Data Files/MasterSchema.json"",""(Default) jsonF..."":""Include/Data Files/login_data.json""}",,,,,,,
Start listener action : beforeTestCase,,,,19-09-2025 15:25:05,19-09-2025 15:25:05,0.152s,PASSED
"logInfo(""Reading payload from JSON file..."")",,,,19-09-2025 15:25:05,19-09-2025 15:25:05,0.015s,PASSED
"payLoad = JsonOutput.toJson(JsonFileReader.getSectionData(""postPayload"", jsonFilePath))",,,,19-09-2025 15:25:05,19-09-2025 15:25:05,0.122s,PASSED
"logInfo(""Payload prepared: "" + payLoad)",,,,19-09-2025 15:25:05,19-09-2025 15:25:05,0.008s,PASSED
"logInfo(""Sending POST request to /login endpoint..."")",,,,19-09-2025 15:25:05,19-09-2025 15:25:05,0.005s,PASSED
"response = ApiKeywords.sendPost(""login"", payLoad)",,,,19-09-2025 15:25:05,19-09-2025 15:25:15,9.135s,PASSED
"logInfo(""Response received with status: "" + response.getStatusCode())",,,,19-09-2025 15:25:15,19-09-2025 15:25:15,0.024s,PASSED
responseBodyContent = response.getResponseBodyContent(),,,,19-09-2025 15:25:15,19-09-2025 15:25:15,0.003s,PASSED
"logInfo(""Response body content:
"" + responseBodyContent)",,,,19-09-2025 15:25:15,19-09-2025 15:25:15,0.006s,PASSED
"logInfo(""Validating response against accessTokenSchema..."")",,,,19-09-2025 15:25:15,19-09-2025 15:25:15,0.005s,PASSED
"schemaMap = JsonFileReader.getSectionData(""accessTokenSchema"", masterSchemaFilePath)",,,,19-09-2025 15:25:15,19-09-2025 15:25:15,0.010s,PASSED
schemaString = JsonOutput.toJson(schemaMap),,,,19-09-2025 15:25:15,19-09-2025 15:25:15,0.006s,PASSED
"validateJsonAgainstSchema(responseBodyContent, schemaString)",,,,19-09-2025 15:25:15,19-09-2025 15:25:15,0.227s,PASSED
"logInfo(""Schema validation passed."")",,,,19-09-2025 15:25:15,19-09-2025 15:25:15,0.005s,PASSED
parsedResponse = JsonSlurper().parseText(responseBodyContent),,,,19-09-2025 15:25:15,19-09-2025 15:25:15,0.003s,PASSED
jwtToken = accessToken,,,,19-09-2025 15:25:15,19-09-2025 15:25:15,0.004s,PASSED
"logInfo(""Extracted JWT Token: "" + jwtToken)",,,,19-09-2025 15:25:15,19-09-2025 15:25:15,0.003s,PASSED
"logInfo(""Storing JWT token in DummyJson section of JSON file..."")",,,,19-09-2025 15:25:15,19-09-2025 15:25:15,0.004s,PASSED
"JsonFileReader.appendToJsonSection(jsonFilePath, ""DummyJson"", ""accessToken"", jwtToken)",,,,19-09-2025 15:25:15,19-09-2025 15:25:15,0.068s,PASSED
"logInfo(""Token stored successfully."")",,,,19-09-2025 15:25:15,19-09-2025 15:25:15,0.003s,PASSED
